"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"256","10959-125","BET1-like protein","BET1L","Q9NYM9","BET1L","RFU",20,"303.1","BET1L.10959.125"
"257","10961-15","Retinoic acid receptor responder protein 3","TIG3","Q9UL19","RARRES3","RFU",20,"1995.7","RARRES3.10961.15"
"259","10974-20","Serine protease inhibitor Kazal-type 7","ISK7","P58062","SPINK7","RFU",20,"1545.4","SPINK7.10974.20"
"260","10975-59","Mucin-like protein 1","MUCL1","Q96DR8","MUCL1","RFU",20,"564.2","MUCL1.10975.59"
"261","10977-55","Unique cartilage matrix-associated protein","UCMA","Q8WVF2","UCMA","RFU",20,"1128.5","UCMA.10977.55"
"262","10978-39","Growth hormone variant","SOM2","P01242","GH2","RFU",20,"647.4","GH2.10978.39"
"263","10981-56","Pro-neuregulin-3, membrane-bound isoform","NRG3","P56975","NRG3","RFU",20,"547.9","NRG3.10981.56"
"264","10990-21","Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","LRRK2","RFU",0.5,"2566.5","LRRK2.10990.21"
"265","11067-13","Osteocalcin","Osteocalcin","P02818","BGLAP","RFU",0.5,"1328.6","BGLAP.11067.13"
"266","11071-1","Interleukin-5","IL-5","P05113","IL5","RFU",20,"275.6","IL5.11071.1"
"267","11089-7","Immunoglobulin A","IgA","P01876 P01877","IGHA1 IGHA2","RFU",0.005,"5550.4","IGHA1.IGHA2.11089.7"
"268","11094-104","Galectin-10","LPPL","Q05315","CLC","RFU",20,"836.6","CLC.11094.104"
"269","11096-57","HemK methyltransferase family member 2","HEMK2","Q9Y5N5","N6AMT1","RFU",20,"1798.2","N6AMT1.11096.57"
"270","11098-1","Pyridoxal kinase","PDXK","O00764","PDXK","RFU",20,"572.7","PDXK.11098.1"
"271","11101-18","Toll-like receptor 4","TLR4","O00206","TLR4","RFU",20,"359.9","TLR4.11101.18"
"272","11102-22","Regenerating islet-derived protein 4","REG4","Q9BYZ8","REG4","RFU",20,"30901.0","REG4.11102.22"
"273","11103-24","Heat shock protein beta-1","HSP 27","P04792","HSPB1","RFU",20,"658.4","HSPB1.11103.24"
"274","11104-13","Chitinase-3-like protein 1","YKL-40","P36222","CHI3L1","RFU",0.5,"20499.9","CHI3L1.11104.13"
"275","11107-25","Teneurin-3","TEN3","Q9P273","TENM3","RFU",20,"651.9","TENM3.11107.25"
"276","11109-56","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","SVEP1","Q4LDE5","SVEP1","RFU",0.5,"2143.6","SVEP1.11109.56"
"277","11110-4","Transmembrane protein 119","TM119","Q4V9L6","TMEM119","RFU",20,"316.4","TMEM119.11110.4"
"278","11112-18","Protein kish-A","KISHA","Q8TBQ9","TMEM167A","RFU",20,"243.0","TMEM167A.11112.18"
"279","11116-16","Uncharacterized protein C11orf87","CK087","Q6NUJ2","C11orf87","RFU",20,"4077.8","C11orf87.11116.16"
"280","11117-2","Spermatogenesis-associated protein 20","SPT20","Q8TB22","SPATA20","RFU",20,"1573.5","SPATA20.11117.2"
"281","11120-49","N-acetyltransferase 14","NAT14","Q8WUY8","NAT14","RFU",20,"1879.1","NAT14.11120.49"
"282","11122-97","Maspardin","SPG21","Q9NZD8","SPG21","RFU",20,"535.6","SPG21.11122.97"
"283","11126-102","Triple functional domain protein","TRIO","O75962","TRIO","RFU",0.5,"444.9","TRIO.11126.102"
"284","11128-29","Transmembrane protein 132C","T132C","Q8N3T6","TMEM132C","RFU",20,"790.0","TMEM132C.11128.29"
"285","11129-66","Bone morphogenetic protein 15","BMP15","O95972","BMP15","RFU",20,"991.5","BMP15.11129.66"
"286","11130-158","Voltage-dependent L-type calcium channel subunit beta-4","CACB4","O00305","CACNB4","RFU",20,"387.4","CACNB4.11130.158"
"287","11134-30","Peptide chain release factor 1-like, mitochondrial","RF1ML","Q9UGC7","MTRF1L","RFU",20,"569.6","MTRF1L.11134.30"
"288","11135-5","39S ribosomal protein L55, mitochondrial","RM55","Q7Z7F7","MRPL55","RFU",20,"394.8","MRPL55.11135.5"
"289","11137-43","Cytokine receptor common subunit beta","IL3RB","P32927","CSF2RB","RFU",20,"529.2","CSF2RB.11137.43"
"290","11138-16","Runt-related transcription factor 3","RUNX3","Q13761","RUNX3","RFU",20,"678.7","RUNX3.11138.16"
"292","11140-56","Collagen alpha-1(I) chain","CO1A1","P02452","COL1A1","RFU",0.5,"1495.5","COL1A1.11140.56"
"293","11142-11","Angiopoietin-related protein 1","ANGL1","O95841","ANGPTL1","RFU",0.5,"772.3","ANGPTL1.11142.11"
"294","11143-32","Noelin-3","NOE3","Q96PB7","OLFM3","RFU",20,"1261.4","OLFM3.11143.32"
"295","11144-10","Beta-defensin 116","DB116","Q30KQ4","DEFB116","RFU",20,"390.1","DEFB116.11144.10"
"296","11145-72","UPF0606 protein KIAA1549L","K154L","Q6ZVL6","KIAA1549L","RFU",20,"633.1","KIAA1549L.11145.72"
"297","11146-4","T-box transcription factor TBX22","TBX22","Q9Y458","TBX22","RFU",20,"586.1","TBX22.11146.4"
"298","11147-17","Trem-like transcript 1 protein","TRML1","Q86YW5","TREML1","RFU",20,"441.3","TREML1.11147.17"
"299","11149-3","Toll-like receptor 1","TLR1","Q15399","TLR1","RFU",20,"1018.2","TLR1.11149.3"
"300","11152-46","Kallikrein-13","kallikrein 13","Q9UKR3","KLK13","RFU",20,"8150.2","KLK13.11152.46"
"301","11154-3","Nuclear factor erythroid 2-related factor 1","NF2L1","Q14494","NFE2L1","RFU",20,"856.8","NFE2L1.11154.3"
"302","11155-16","Collagen alpha-5(VI) chain","CO6A5","A8TX70","COL6A5","RFU",20,"330.8","COL6A5.11155.16"
"303","11157-35","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","HSPA1A","RFU",0.5,"3195.7","HSPA1A.11157.35"
"304","11158-40","Bicaudal D-related protein 1","BICR1","Q6ZP65","CCDC64","RFU",20,"617.6","CCDC64.11158.40"
"305","11160-56","RING finger protein 122","RN122","Q9H9V4","RNF122","RFU",0.5,"1278.4","RNF122.11160.56"
"306","11161-5","Spartin","SPG20","Q8N0X7","SPG20","RFU",20,"339.2","SPG20.11161.5"
"307","11162-37","Equatorin","EQTN","Q9NQ60","EQTN","RFU",20,"378.8","EQTN.11162.37"
"308","11163-7","Protein FAM162B","F162B","Q5T6X4","FAM162B","RFU",20,"1223.8","FAM162B.11163.7"
"309","11164-7","Teneurin-2","TEN2","Q9NT68","TENM2","RFU",20,"2438.2","TENM2.11164.7"
"310","11167-6","Myotubularin-related protein 1","MTMR1","Q13613","MTMR1","RFU",20,"629.1","MTMR1.11167.6"
"311","11168-3","Multiple epidermal growth factor-like domains protein 10","MEG10","Q96KG7","MEGF10","RFU",20,"780.6","MEGF10.11168.3"
"312","11171-25","Filamin-A","filamin A","P21333","FLNA","RFU",0.5,"658.7","FLNA.11171.25"
"313","11173-29","Allergin-1","MILR1","Q7Z6M3","MILR1","RFU",20,"594.5","MILR1.11173.29"
"314","11175-45","Lysophosphatidylcholine acyltransferase 2","PCAT2","Q7L5N7","LPCAT2","RFU",20,"778.7","LPCAT2.11175.45"
"315","11177-16","Keratin, type II cytoskeletal 5","K2C5","P13647","KRT5","RFU",20,"1931.4","KRT5.11177.16"
"316","11178-21","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","SVEP1","Q4LDE5","SVEP1","RFU",0.5,"1991.1","SVEP1.11178.21"
"317","11179-7","Testis-specific serine/threonine-protein kinase 1","TSSK1","Q9BXA7","TSSK1B","RFU",20,"1067.5","TSSK1B.11179.7"
"318","11180-17","SWI/SNF complex subunit SMARCC1","SMRC1","Q92922","SMARCC1","RFU",20,"2331.4","SMARCC1.11180.17"
"319","11185-145","GTP cyclohydrolase 1","GCH1","P30793","GCH1","RFU",20,"687.4","GCH1.11185.145"
"320","11186-12","Transmembrane protein 52","TMM52","Q8NDY8","TMEM52","RFU",20,"508.9","TMEM52.11186.12"
"321","11187-11","C-type lectin domain family 12 member A","CL12A","Q5QGZ9","CLEC12A","RFU",20,"2070.4","CLEC12A.11187.11"
"322","11190-129","ATP-dependent zinc metalloprotease YME1L1","YMEL1","Q96TA2","YME1L1","RFU",20,"811.2","YME1L1.11190.129"
"323","11192-168","Tubulointerstitial nephritis antigen-like","TINAL","Q9GZM7","TINAGL1","RFU",20,"3499.3","TINAGL1.11192.168"
"324","11193-27","Hepatocyte nuclear factor 1-alpha","HNF1A","P20823","HNF1A","RFU",20,"324.9","HNF1A.11193.27"
"325","11194-6","Signaling threshold-regulating transmembrane adapter 1","SIT1","Q9Y3P8","SIT1","RFU",20,"538.9","SIT1.11194.6"
"326","11196-31","Collagen alpha-3(VI) chain","Collagen alpha-3(VI)","P12111","COL6A3","RFU",0.5,"2160.9","COL6A3.11196.31"
"327","11198-37","Cyclic AMP-responsive element-binding protein 3-like protein 1","CR3L1","Q96BA8","CREB3L1","RFU",20,"1006.9","CREB3L1.11198.37"
"328","11201-19","tRNA pseudouridine synthase A, mitochondrial","TRUA","Q9Y606","PUS1","RFU",20,"202.9","PUS1.11201.19"
"329","11202-70","T-box transcription factor TBX5","TBX5","Q99593","TBX5","RFU",20,"574.2","TBX5.11202.70"
"330","11204-80","Coxsackievirus and adenovirus receptor","CXAR","P78310","CXADR","RFU",20,"2117.7","CXADR.11204.80"
"331","11205-10","Integrin beta-7","Integrin beta-7","P26010","ITGB7","RFU",20,"4312.2","ITGB7.11205.10"
"332","11207-3","Macrophage scavenger receptor types I and II","Macrophage scavenger receptor","P21757","MSR1","RFU",20,"567.3","MSR1.11207.3"
"333","11208-15","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase","NAGPA","Q9UK23","NAGPA","RFU",20,"8468.8","NAGPA.11208.15"
"334","11211-7","Tubulin-specific chaperone E","TBCE","Q15813","TBCE","RFU",20,"1010.4","TBCE.11211.7"
"335","11212-7","Thioredoxin domain-containing protein 5","TXND5","Q8NBS9","TXNDC5","RFU",0.5,"4957.6","TXNDC5.11212.7"
"336","11214-40","DnaJ homolog subfamily B member 9","DNJB9","Q9UBS3","DNAJB9","RFU",20,"13609.6","DNAJB9.11214.40"
"337","11215-6","Cadherin-15","CAD15","P55291","CDH15","RFU",0.5,"4076.0","CDH15.11215.6"
"338","11217-16","C-terminal-binding protein 1","CTBP1","Q13363","CTBP1","RFU",20,"328.0","CTBP1.11217.16"
"339","11218-84","Thiopurine S-methyltransferase","TPMT","P51580","TPMT","RFU",0.5,"4308.1","TPMT.11218.84"
"340","11219-95","Fibroblast growth factor-binding protein 3","FGFP3","Q8TAT2","FGFBP3","RFU",20,"1166.5","FGFBP3.11219.95"
"341","11220-53","Uncharacterized protein C10orf105","CJ105","Q8TEF2","C10orf105","RFU",20,"301.0","C10orf105.11220.53"
"343","11223-1","Transmembrane protein 154","TM154","Q6P9G4","TMEM154","RFU",20,"627.7","TMEM154.11223.1"
"344","11226-16","Ubiquitin-protein ligase E3A","UBE3A","Q05086","UBE3A","RFU",20,"2012.1","UBE3A.11226.16"
"345","11227-31","Transducin beta-like protein 2","TBL2","Q9Y4P3","TBL2","RFU",20,"549.4","TBL2.11227.31"
"346","11228-37","Protein RIC-3","RIC3","Q7Z5B4","RIC3","RFU",20,"1347.3","RIC3.11228.37"
"347","11229-16","Serine/threonine-protein kinase/endoribonuclease IRE1","ERN1","O75460","ERN1","RFU",20,"1515.5","ERN1.11229.16"
"349","11231-12","Adrenodoxin-like protein, mitochondrial","ADXL","Q6P4F2","FDX1L","RFU",20,"230.4","FDX1L.11231.12"
"350","11237-49","Procollagen C-endopeptidase enhancer 1","PCOC1","Q15113","PCOLCE","RFU",0.005,"2120.8","PCOLCE.11237.49"
"351","11239-49","Transmembrane protease serine 6","TMPS6","Q8IU80","TMPRSS6","RFU",20,"1648.3","TMPRSS6.11239.49"
"352","11241-8","Argininosuccinate lyase","ARLY","P04424","ASL","RFU",0.5,"6340.7","ASL.11241.8"
"353","11242-33","Protein-glutamine gamma-glutamyltransferase K","TGM1","P22735","TGM1","RFU",20,"298.1","TGM1.11242.33"
"354","11243-90","Adhesion G-protein coupled receptor F1","GPR110","Q5T601","ADGRF1","RFU",0.5,"3037.9","ADGRF1.11243.90"
"355","11247-20","N-acetylglutamate synthase, mitochondrial","NAGS","Q8N159","NAGS","RFU",20,"780.1","NAGS.11247.20"
"356","11248-43","Uroporphyrinogen-III synthase","HEM4","P10746","UROS","RFU",20,"874.6","UROS.11248.43"
"357","11252-30","Leucine-rich repeat and calponin homology domain-containing protein 4","LRCH4","O75427","LRCH4","RFU",20,"1491.7","LRCH4.11252.30"
"358","11254-13","Papilin","PPN","O95428","PAPLN","RFU",20,"804.4","PAPLN.11254.13"
"359","11257-1","Dihydropteridine reductase","DHPR","P09417","QDPR","RFU",0.5,"2991.1","QDPR.11257.1"
"360","11258-41","Mucosal addressin cell adhesion molecule 1","MAdCAM-1","Q13477","MADCAM1","RFU",0.5,"1225.4","MADCAM1.11258.41"
"361","11260-47","SUN domain-containing protein 5","SPA4L","Q8TC36","SUN5","RFU",20,"410.8","SUN5.11260.47"
"362","11262-39","TraB domain-containing protein","TRABD","Q9H4I3","TRABD","RFU",0.5,"203.0","TRABD.11262.39"
"363","11263-57","Calsequestrin-1","CASQ1","P31415","CASQ1","RFU",0.5,"8607.7","CASQ1.11263.57"
"364","11264-33","Xanthine dehydrogenase/oxidase","XDH","P47989","XDH","RFU",20,"325.5","XDH.11264.33"
"365","11265-8","Retinal dehydrogenase 1","Retinal dehydrogenase 1","P00352","ALDH1A1","RFU",0.5,"1333.5","ALDH1A1.11265.8"
"366","11266-8","P-selectin glycoprotein ligand 1","SELPL","Q14242","SELPLG","RFU",20,"3209.9","SELPLG.11266.8"
"367","11270-17","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial","CHC10","Q8WYQ3","CHCHD10","RFU",20,"1306.8","CHCHD10.11270.17"
"368","11273-176","Glutathione S-transferase theta-2B","GSTT2","P0CG30","GSTT2B","RFU",20,"353.4","GSTT2B.11273.176"
"369","11275-94","Low-density lipoprotein receptor-related protein 1B","LRP1B","Q9NZR2","LRP1B","RFU",20,"706.7","LRP1B.11275.94"
"370","11277-23","Cyclic AMP-dependent transcription factor ATF-6 alpha","ATF6A","P18850","ATF6","RFU",0.5,"13819.0","ATF6.11277.23"
"371","11278-4","Collagen alpha-2(XI) chain","COL11A2","P13942","COL11A2","RFU",20,"7309.1","COL11A2.11278.4"
"372","11279-42","Gamma-aminobutyric acid type B receptor subunit 1","GABR1","Q9UBS5","GABBR1","RFU",20,"430.3","GABBR1.11279.42"
"373","11280-6","Glutamate decarboxylase 1","DCE1","Q99259","GAD1","RFU",20,"519.8","GAD1.11280.6"
"374","11281-6","Growth factor receptor-bound protein 7","GRB7","Q14451","GRB7","RFU",20,"2024.0","GRB7.11281.6"
"375","11283-13","DDB1- and CUL4-associated factor 5","DCAF5","Q96JK2","DCAF5","RFU",20,"625.8","DCAF5.11283.13"
"376","11284-24","Leukocyte-associated immunoglobulin-like receptor 1","LAIR1","Q6GTX8","LAIR1","RFU",20,"469.6","LAIR1.11284.24"
"377","11287-14","Cytochrome b5","Cytochrome b5","P00167","CYB5A","RFU",20,"1353.0","CYB5A.11287.14"
"378","11288-26","Cytosolic purine 5'-nucleotidase","5NTC","P49902","NT5C2","RFU",20,"1346.2","NT5C2.11288.26"
"379","11289-31","Casein kinase I isoform delta","KC1D","P48730","CSNK1D","RFU",20,"646.1","CSNK1D.11289.31"
"381","11292-13","Scavenger receptor class A member 3","SCAR3","Q6AZY7","SCARA3","RFU",20,"1411.5","SCARA3.11292.13"
"382","11293-14","Leucine-rich repeat neuronal protein 1","LRRN1","Q6UXK5","LRRN1","RFU",20,"725.1","LRRN1.11293.14"
"383","11297-54","Neurogenic locus notch homolog protein 2","NOTC2","Q04721","NOTCH2","RFU",20,"214.6","NOTCH2.11297.54"
"384","11300-32","Sortilin","SORT","Q99523","SORT1","RFU",20,"805.9","SORT1.11300.32"
"385","11302-237","Tenascin-R","TENR","Q92752","TNR","RFU",20,"1602.0","TNR.11302.237"
"386","11303-7","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1","Q9Y3Z3","SAMHD1","RFU",20,"1069.9","SAMHD1.11303.7"
"387","11307-33","NEDD4-like E3 ubiquitin-protein ligase WWP1","WWP1","Q9H0M0","WWP1","RFU",20,"1473.7","WWP1.11307.33"
"388","11308-8","Cyclic AMP-responsive element-binding protein 3-like protein 4","CR3L4","Q8TEY5","CREB3L4","RFU",20,"892.0","CREB3L4.11308.8"
"389","11311-79","V(D)J recombination-activating protein 1","RAG-1","P15918","RAG1","RFU",20,"621.6","RAG1.11311.79"
"390","11312-40","Mismatch repair endonuclease PMS2","PMS2","P54278","PMS2","RFU",20,"575.9","PMS2.11312.40"
"391","11313-100","Pterin-4-alpha-carbinolamine dehydratase","PHS","P61457","PCBD1","RFU",20,"1841.9","PCBD1.11313.100"
"392","11315-148","Protein phosphatase 1D","PPM1D","O15297","PPM1D","RFU",20,"1021.1","PPM1D.11315.148"
"393","11319-106","Double-strand break repair protein MRE11","MRE11","P49959","MRE11A","RFU",20,"699.9","MRE11A.11319.106"
"394","11320-29","E3 ubiquitin-protein ligase CHFR","CHFR","Q96EP1","CHFR","RFU",0.5,"731.9","CHFR.11320.29"
"395","11324-3","Peroxidasin-like protein","PXDNL","A1KZ92","PXDNL","RFU",20,"494.2","PXDNL.11324.3"
"396","11325-8","Protein BTG2","BTG2","P78543","BTG2","RFU",20,"325.5","BTG2.11325.8"
"397","11328-9","U6 snRNA phosphodiesterase","USB1","Q9BQ65","USB1","RFU",20,"225.5","USB1.11328.9"
"398","11330-15","Casein kinase II subunit beta","CSK2B","P67870","CSNK2B","RFU",20,"1344.6","CSNK2B.11330.15"
"399","11333-82","Rho GTPase-activating protein 25","RHG25","P42331","ARHGAP25","RFU",20,"4660.6","ARHGAP25.11333.82"
"400","11334-7","Leukocyte immunoglobulin-like receptor subfamily B member 3","LIRB3","O75022","LILRB3","RFU",20,"462.9","LILRB3.11334.7"
"401","11336-9","Fanconi anemia group F protein","FANCF","Q9NPI8","FANCF","RFU",20,"413.8","FANCF.11336.9"
"402","11338-49","Tyrosine-protein kinase BLK","BLK","P51451","BLK","RFU",20,"229.6","BLK.11338.49"
"403","11342-59","Plexin domain-containing protein 2","PXDC2","Q6UX71","PLXDC2","RFU",20,"161.2","PLXDC2.11342.59"
"404","11347-9","Transaldolase","Transaldolase","P37837","TALDO1","RFU",20,"13364.7","TALDO1.11347.9"
"405","11348-132","Prolyl 4-hydroxylase subunit alpha-2","P4HA2","O15460","P4HA2","RFU",0.5,"1183.8","P4HA2.11348.132"
"406","11350-30","E3 ubiquitin-protein ligase CHIP","CHIP","Q9UNE7","STUB1","RFU",20,"672.0","STUB1.11350.30"
"407","11351-233","Non-homologous end-joining factor 1","NHEJ1","Q9H9Q4","NHEJ1","RFU",20,"199.3","NHEJ1.11351.233"
"408","11352-42","Titin","TITIN","Q8WZ42","TTN","RFU",20,"345.3","TTN.11352.42"
"409","11354-21","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1","Phospholipase C-beta-1","Q9NQ66","PLCB1","RFU",20,"3577.7","PLCB1.11354.21"
"410","11355-10","Eukaryotic translation initiation factor 5A-2","IF5A2","Q9GZV4","EIF5A2","RFU",20,"697.9","EIF5A2.11355.10"
"411","11356-19","Protein DGCR14","DGC14","Q96DF8","DGCR14","RFU",20,"385.6","DGCR14.11356.19"
"412","11358-15","Growth factor receptor-bound protein 10","GRB10","Q13322","GRB10","RFU",20,"252.6","GRB10.11358.15"
"413","11360-39","Ribonucleoside-diphosphate reductase large subunit","RRM1","P23921","RRM1","RFU",20,"4795.9","RRM1.11360.39"
"414","11361-73","Thymidine phosphorylase","TP","P19971","TYMP","RFU",0.5,"2642.1","TYMP.11361.73"
"415","11363-58","Aquaporin-4","AQP4","P55087","AQP4","RFU",20,"689.1","AQP4.11363.58"
"416","11364-18","Mitofusin-1","MFN1","Q8IWA4","MFN1","RFU",20,"1690.4","MFN1.11364.18"
"417","11365-17","Teneurin-4","TEN4","Q6N022","TENM4","RFU",20,"349.4","TENM4.11365.17"
"418","11369-23","Alcohol dehydrogenase class-3","ADHX","P11766","ADH5","RFU",20,"2948.7","ADH5.11369.23"
"419","11370-20","72 kDa inositol polyphosphate 5-phosphatase","INP5E","Q9NRR6","INPP5E","RFU",20,"345.6","INPP5E.11370.20"
"420","11371-1","Probable G-protein coupled receptor 101","GP101","Q96P66","GPR101","RFU",20,"516.8","GPR101.11371.1"
"421","11372-2","Zinc finger protein 18","ZNF18","P17022","ZNF18","RFU",20,"1788.9","ZNF18.11372.2"
"422","11375-49","Forkhead box protein L2","FOXL2","P58012","FOXL2","RFU",20,"481.3","FOXL2.11375.49"
"423","11377-19","Alcohol dehydrogenase class 4 mu/sigma chain","ADH7","P40394","ADH7","RFU",20,"3721.8","ADH7.11377.19"
"424","11378-37","Tyrosine-protein kinase SYK","KSYK","P43405","SYK","RFU",20,"271.0","SYK.11378.37"
"426","11381-56","Ribose-phosphate pyrophosphokinase 1","PRPS1","P60891","PRPS1","RFU",20,"232.4","PRPS1.11381.56"
"427","11382-5","Biliverdin reductase A","BIEA","P53004","BLVRA","RFU",0.5,"2298.2","BLVRA.11382.5"
"428","11383-41","Keratin, type II cytoskeletal 7","Keratin 7","P08729","KRT7","RFU",20,"908.9","KRT7.11383.41"
"429","11387-3","Cyclic AMP-dependent transcription factor ATF-6 beta","ATF6B","Q99941","ATF6B","RFU",0.5,"2955.2","ATF6B.11387.3"
"430","11388-75","WAP four-disulfide core domain protein 2","HE4","Q14508","WFDC2","RFU",20,"4335.7","WFDC2.11388.75"
"431","11390-24","Carbonic anhydrase-related protein","Carbonic Anhydrase VIII","P35219","CA8","RFU",20,"235.0","CA8.11390.24"
"432","11391-69","Mevalonate kinase","MVK","Q03426","MVK","RFU",20,"3024.4","MVK.11391.69"
"433","11395-5","Protein-tyrosine kinase 2-beta","FAK2","Q14289","PTK2B","RFU",20,"1007.1","PTK2B.11395.5"
"434","11396-39","Dynein intermediate chain 1, axonemal","DNAI1","Q9UI46","DNAI1","RFU",20,"565.5","DNAI1.11396.39"
"435","11401-181","E3 ubiquitin-protein ligase RNF146","RN146","Q9NTX7","RNF146","RFU",20,"1539.2","RNF146.11401.181"
"436","11402-17","Histone-lysine N-methyltransferase 2C","KMT2C","Q8NEZ4","KMT2C","RFU",20,"291.0","KMT2C.11402.17"
"437","11405-150","Caspase recruitment domain-containing protein 9","CARD9","Q9H257","CARD9","RFU",20,"972.1","CARD9.11405.150"
"438","11406-82","Isobutyryl-CoA dehydrogenase, mitochondrial","ACAD8","Q9UKU7","ACAD8","RFU",20,"921.6","ACAD8.11406.82"
"439","11407-57","Phospholipid scramblase 3","PLS3","Q9NRY6","PLSCR3","RFU",20,"667.1","PLSCR3.11407.57"
"440","11416-23","F-box/LRR-repeat protein 4","FBXL4","Q9UKA2","FBXL4","RFU",0.5,"1986.9","FBXL4.11416.23"
"441","11421-10","EH domain-containing protein 4","EHD4","Q9H223","EHD4","RFU",0.5,"1911.7","EHD4.11421.10"
"442","11422-2","Homeobox protein DLX-3","DLX3","O60479","DLX3","RFU",20,"175.1","DLX3.11422.2"
"443","11424-4","Fumarylacetoacetase","FAAA","P16930","FAH","RFU",0.5,"4352.9","FAH.11424.4"
"444","11425-31","RUN and FYVE domain-containing protein 1","RUFY1","Q96T51","RUFY1","RFU",20,"2635.3","RUFY1.11425.31"
"445","11428-31","PDZ and LIM domain protein 1","PDLI1","O00151","PDLIM1","RFU",20,"421.4","PDLIM1.11428.31"
"446","11429-80","Heterogeneous nuclear ribonucleoproteins C1/C2","hnRNP C1/C2","P07910","HNRNPC","RFU",20,"1257.8","HNRNPC.11429.80"
"447","11430-49","E3 ubiquitin-protein ligase DTX1","DTX1","Q86Y01","DTX1","RFU",20,"2838.8","DTX1.11430.49"
